,day,London,Paris,Rome,Florence,Milan,Venice,Edinburgh,Glasgow,New_York_City,Chicago,Los_Angeles,Toronto,Vancouver,Beijing,Hong_Kong,Singapore,Seoul,Taipei,Tokyo,Kyoto,Osaka,Shanghai,San_Francisco,Boston,Philadelphia,Seattle,"Richmond,_Virginia","Washington,_D.C.",Istanbul,Vienna,Budapest,Prague,Berlin,Munich,Nuremberg,Frankfurt,Moscow,Saint_Petersburg,Brussels,Bruges,Antwerp,Amsterdam,York,Rotterdam,Tbilisi,Warsaw,Ankara,Jerusalem,Tel_Aviv,Cairo,Alexandria,Aleppo,Damascus,Baghdad,Tehran,Baku,Samarkand,Bukhara,Athens,Corinth,Thessaloniki,Belgrade,Zagreb,Sarajevo,Bucharest,Belfast,Dublin,Stockholm,Copenhagen,Oslo,Helsinki,Mexico_City,Rio_de_Janeiro,Buenos_Aires,Dallas,Mecca,Riyadh,Dubai,Hanoi,Bangkok,New_Delhi,Mumbai,Chennai,Manchester,Cornwall,Madrid,Barcelona,Lisbon,Johannesburg,Kiev,Riga,Shiraz,Kabul,Avignon,Marseille,Havana,Jakarta,Sydney,Melbourne,Detroit
0,20150701,14117,8974,4832,3285,3069,5028,3009,2793,14290,8295,10471,6772,6320,4168,12010,15913,3303,2174,6043,1697,1487,4247,7374,5703,6369,5706,1798,9756,5418,4283,5665,5159,4564,4699,1319,3238,4832,3195,3939,1458,2375,6612,1608,1512,1325,2012,1252,3959,2061,1916,1725,986,1702,1392,1847,2032,836,465,8005,529,2458,1971,1395,1617,1622,2256,3222,3206,4135,2056,1949,3927,3705,2799,3289,4840,1818,10810,1356,3950,3557,8355,5115,3306,2309,3111,5804,2259,2441,1481,1387,580,1000,861,1862,2087,3059,3653,3670,5160
1,20150702,13871,9329,4824,3120,3077,4574,2990,2780,14127,8359,10442,6541,5797,4197,11803,15427,3770,2219,5991,1855,1590,4144,7408,5311,6151,5634,1781,10358,5342,4014,5793,5076,4673,4340,1524,3447,4839,3077,3791,1523,2150,6605,1510,1568,1436,2113,1287,3998,2025,1862,1672,994,1658,1421,1905,1877,864,460,4224,477,2093,1950,1277,1562,1780,2203,3173,2870,4045,2815,2005,3654,3668,2573,3281,4760,1920,11736,1393,3968,3556,8448,4882,3212,2336,3090,6267,2105,2513,1437,1380,599,1079,887,1926,1661,3291,3552,3467,5481
2,20150703,12061,8274,4453,2970,2872,4745,2750,2461,13520,7804,9627,5944,5069,3917,11256,13775,3335,1998,5547,1441,1563,4019,7270,5258,5957,5706,1659,9192,5129,3772,5507,4732,4079,2961,1329,3074,4427,3281,3535,1491,2030,6099,1377,1425,1363,1840,1542,3595,1827,1745,1465,2081,1541,1255,1970,1590,786,519,4100,480,2035,1993,1149,1367,1595,2182,3029,2670,3980,1899,1842,3503,3587,2484,3038,4403,1486,9863,1360,3753,3298,8575,4181,3208,2257,3119,5664,2001,2331,1421,1378,646,973,816,1679,1383,2573,3276,3303,5093
3,20150704,11927,7351,4347,3064,2821,4417,2596,2453,13651,7767,9464,5800,5463,3365,9638,13291,3201,2064,5661,1338,1382,4028,7049,5637,6593,5547,1695,10699,5258,3736,5389,4452,3970,2716,1195,2936,4269,2960,3245,1527,2000,6260,1331,1548,1351,1739,1145,3920,1682,1671,1421,1399,2518,1244,1789,1597,755,468,4141,513,2208,1849,1175,1492,1548,2100,2893,2579,3931,2080,2080,3347,3327,2744,2917,4284,1471,9493,1216,3514,2975,7444,3802,2730,2297,2771,5562,1915,2162,1316,1201,558,1183,1086,1657,1290,2633,3015,3158,5063
4,20150705,12632,8195,4698,3110,2972,5046,2927,2633,14636,8314,10362,6324,9131,3839,10126,14421,3140,1938,5986,1514,1533,4169,7631,5565,7023,6115,1710,10237,5430,4056,5815,4892,4394,3269,1366,3061,4141,3219,3591,1747,2655,6800,1494,4974,1429,1918,1226,3903,1878,1891,1777,1321,1930,1252,1804,1597,939,487,7075,596,3206,2011,1305,1869,1704,2242,3055,3017,4449,1978,1962,3381,3565,3353,3455,4269,1453,10000,1276,3650,3295,7936,4093,3104,2673,2969,5999,2096,2343,1449,1219,594,1163,987,2011,1318,2540,3330,3406,5279
5,20150706,13897,9832,5200,3380,3690,5186,3345,2988,15917,10139,10942,7142,9689,4247,11485,16276,3951,2042,6469,1714,1813,4565,8200,5854,6843,6530,1943,10237,7667,4462,6237,5376,4850,4059,1539,3694,4481,3606,4558,1729,3512,9719,1607,2841,1434,2144,1325,3926,1996,2018,1734,1066,1768,1788,2094,1723,1140,515,7233,567,3172,2401,1654,1929,1963,2612,3484,3114,4505,2233,1946,4317,3828,3050,3493,4601,1675,11162,1577,4615,3663,8590,4479,3163,3304,3225,6854,2348,3083,1642,1407,634,1149,960,2133,1375,2981,3919,3911,5953
6,20150707,16339,9325,5415,3379,3312,5109,3295,3092,18684,9936,11258,7839,5674,4572,11645,15850,4046,1952,6440,2171,1847,5042,8573,6012,6596,6612,1937,9528,6398,4649,6249,5152,4747,3677,1468,4048,4649,3541,4925,1810,2512,7273,1619,2058,1518,2178,1441,4623,14651,1997,1854,1089,1748,1727,2074,1784,1187,637,5086,510,2459,2182,1525,1740,1864,2430,3494,3059,4267,2322,2120,4224,3855,2839,3466,4375,1815,10730,1495,4536,3658,8218,4394,4380,2793,3847,7043,2430,2731,1527,1478,631,1141,1030,2178,1779,3003,3864,3775,5562
7,20150708,14193,9468,5140,3567,3359,5185,3168,3054,16391,8742,11062,6808,5263,4716,11657,15984,3663,1811,7038,2390,1623,5069,8337,5839,6700,7983,1920,9404,5948,4421,7030,5036,4546,3422,1295,3551,4434,3304,4595,1695,2050,7159,1542,1869,1523,2141,1408,5380,10614,1905,1683,1011,1741,1731,1857,1639,1084,593,4483,546,2371,2178,1510,1892,2117,2484,3578,3246,4437,2379,2097,3929,3570,2692,3339,4912,1611,11592,1472,4275,3782,8157,4143,3333,2467,3343,6581,2409,2466,1538,1565,691,1182,916,2122,1534,2979,3569,3850,5458
8,20150709,13622,8439,4990,3484,3428,5637,3677,2858,15043,8972,10675,6644,5072,4323,12627,15639,3835,1746,6375,2074,1591,5051,8079,5627,6412,8285,1921,9260,6006,4454,6184,5014,4501,3533,1333,3637,4323,3927,4079,1647,1795,7021,1479,1732,1726,2161,2034,5169,3430,1718,1613,1002,1561,1413,1857,1686,978,558,3994,513,2056,2102,1395,2035,1789,2653,3368,2931,4091,2206,1993,3763,3376,2621,3449,4756,1698,10336,1466,4075,3587,8341,4251,3189,2339,3116,6202,2289,2544,1594,2516,596,1066,880,1991,1275,2952,3644,3748,5355
9,20150710,16482,8524,5258,3228,3564,5156,3074,3046,14525,9043,10481,7069,5160,4457,11386,15197,3443,2322,5683,1890,1614,5137,7485,5991,6490,6577,2051,8835,5576,4123,5666,4965,4514,3355,1545,3383,4427,3423,3885,1523,1718,6942,1517,1704,1604,2061,1561,4883,2450,2508,2538,889,1452,1547,1941,1876,862,519,4018,549,2061,2271,1417,2045,1716,2516,3411,2936,4026,2053,1996,3533,3396,2461,3508,4518,1650,9720,1274,4001,3435,7846,4108,3548,2413,3174,6132,2055,2354,1576,1438,736,985,869,1991,1285,2853,3452,3581,5391
