,day,month,Adolf_Hitler,Winston_Churchill,Joseph_Stalin,Franklin_D._Roosevelt,Mao_Zedong,Alexander_the_Great,Julius_Caesar,Augustus,Nero,Marcus_Aurelius,William_the_Conqueror,Richard_I_of_England,Henry_VIII_of_England,Elizabeth_I_of_England,Oliver_Cromwell,Queen_Victoria,Leonardo_da_Vinci,Michelangelo,Raphael,Claude_Monet,Vincent_van_Gogh,Pablo_Picasso,George_Washington,Thomas_Jefferson,Andrew_Jackson,Abraham_Lincoln,Theodore_Roosevelt,Woodrow_Wilson,Jefferson_Davis,Robert_E._Lee,John_C._Calhoun,Stonewall_Jackson,Ulysses_S._Grant,William_Tecumseh_Sherman,John_Locke,Thomas_Hobbes,Jean-Jacques_Rousseau,Karl_Marx,John_Stuart_Mill,Edmund_Burke,Plato,Aristotle,Ramesses_II,Cleopatra,Cicero,Pericles,Abraham,Moses,Jesus,Muhammad,Gautama_Buddha,Vladimir_Lenin,Leon_Trotsky,John_F._Kennedy,Martin_Luther_King_Jr.,Mahatma_Gandhi,Napoleon,Catherine_the_Great,Otto_von_Bismarck,Franz_Joseph_I_of_Austria,"Arthur_Wellesley,_1st_Duke_of_Wellington",Wolfgang_Amadeus_Mozart,Johann_Sebastian_Bach,Ludwig_van_Beethoven,Frédéric_Chopin,Franz_Schubert,Claude_Debussy,William_Shakespeare,Lord_Byron,Johann_Wolfgang_von_Goethe,John_Milton,Charles_Dickens,Victor_Hugo,Genghis_Khan,Kublai_Khan,Attila,Timur,Suleiman_the_Magnificent,Cyrus_the_Great,Louis_XIV_of_France,Cardinal_Richelieu,Marie_Antoinette,Maximilien_Robespierre,Charles_de_Gaulle,Voltaire,Benito_Mussolini,Cosimo_de_Medici,Niccolò_Machiavelli,Lorenzo_de_Medici,Cesare_Borgia,"Camillo_Benso,_Count_of_Cavour",Giuseppe_Garibaldi,Sun_Yat-sen,Chiang_Kai-shek,Qin_Shi_Huang,Cao_Cao,Richard_Wagner,Christopher_Columbus,Georg_Wilhelm_Friedrich_Hegel,John_A._Macdonald
0,20150701,201507,21769,7121,8301,8718,4644,10125,6820,3439,28799,2434,2591,2449,11604,10860,2933,8706,8578,4271,10612,2651,6932,5544,9553,6894,4642,15095,8192,3698,4764,9732,1917,3328,4112,2045,2484,1138,2104,5497,1425,1126,6329,5546,2291,4912,1856,942,2834,3993,8975,10560,6809,4276,2702,13086,331,16995,11446,2005,2188,1169,2058,4893,3091,4957,2158,1057,1858,11807,2033,1750,1410,4023,1782,7739,2641,2672,1492,3161,1668,4053,688,4934,1625,1994,2639,4716,257,2729,543,1966,148,863,1232,1856,1426,698,1788,8084,1129,1458
1,20150702,201507,19601,7198,8215,8714,4554,9812,6503,3398,7556,2407,2776,2347,10557,10026,3078,8443,8365,4113,3906,2571,7293,5951,9766,7652,4930,15025,7110,3585,4777,10158,1630,3339,4399,1982,2455,1252,2161,5441,1340,1323,6173,5361,1975,4991,1858,816,2953,3876,125259,11651,6468,3894,2657,12289,277,17119,10767,1968,2149,1129,2048,4853,2957,4553,2328,966,1619,12154,2306,1930,1321,3850,1741,9748,2812,2584,1640,3345,1614,3297,716,5061,1566,1843,2779,4588,264,2833,504,1959,135,1248,1270,1948,1381,613,1792,8214,1248,722
2,20150703,201507,47663,6477,7898,9418,4160,11008,5856,3152,3819,2533,2828,2260,9865,7616,2949,9007,7546,3555,1943,2007,7276,4977,11329,10564,8429,17212,7872,3569,4682,9845,1576,2824,4552,1928,2044,973,1699,4640,1035,1010,4488,4509,1957,4847,1566,766,2600,3801,38597,11255,6241,4127,2638,12357,296,14657,9529,2451,2077,942,1876,4676,2773,4997,2091,994,1764,10121,1894,1631,1155,3419,1735,8115,2691,2607,1426,3908,1636,3165,679,5209,1385,1962,2503,3957,259,2639,846,1919,119,958,1044,1678,1107,655,1653,7113,1029,447
3,20150704,201507,37422,6691,7538,10316,4038,9595,6151,3058,3703,2414,2389,2304,9641,7525,3581,9866,7056,3617,1728,1856,5732,4740,25459,27167,6537,19595,11237,5337,5076,11695,1584,3384,5654,1948,2192,860,1799,4287,855,1134,4720,4210,2048,4904,1660,835,2659,4299,7950,10998,6240,3990,2742,12990,294,15845,10027,2904,1901,906,1848,4902,2562,4753,1953,928,1344,9360,2197,1539,1113,3394,1659,7386,2840,3084,1425,2677,1907,3078,534,5046,1448,1949,2390,4072,214,2402,672,1902,113,1268,1090,1859,1402,634,1744,8272,903,491
4,20150705,201507,19724,7612,8407,11974,4504,10643,6419,3406,3676,2490,2551,2832,11599,8772,3734,11187,8672,4231,1765,2271,6248,5072,21185,24360,7243,18023,10402,5025,5261,10554,1847,3725,6311,2362,2253,1006,1939,5114,1033,1062,4261,4942,2904,5422,1658,987,3128,4783,9516,11464,7096,3991,2699,13190,353,18902,11060,6339,2078,1098,2060,5075,2777,5121,2195,1004,1665,11786,2747,1663,1363,3938,1929,8849,4565,2784,1651,2843,1797,3820,669,6066,1560,2192,2701,4580,255,2497,728,2123,108,1053,1130,2022,1332,631,1682,8160,1051,489
5,20150706,201507,20942,7782,8661,11196,4509,11739,6956,3821,3995,2658,2699,3880,11490,9783,3592,11371,8576,4628,1817,2795,6877,5537,12457,10651,6068,15624,10144,4392,5032,8518,2389,3029,5044,2109,2428,1350,1994,6779,1312,1158,5077,5702,2417,5372,2244,1060,3065,4348,9280,11058,7527,4275,3362,12366,298,18742,10593,3697,2483,1109,1959,5466,3104,5446,2317,1213,1926,12382,2474,1886,1362,4197,1923,9231,3629,2996,1752,3006,1978,3589,776,6483,1488,2573,3730,4988,297,3082,646,2328,108,981,1219,2091,1387,626,2073,7057,1178,479
6,20150707,201507,19936,7247,8444,10299,4409,10457,6599,3772,4427,2608,2800,3245,11868,8601,3339,9573,8809,4309,2128,2843,10089,5744,10971,8103,5360,14661,7861,3815,4617,8474,1647,2654,4711,2219,2602,1518,2117,5939,1289,1083,5133,5699,2738,5704,2064,974,3017,4084,8821,10458,7197,4257,3425,12115,269,17370,10331,2761,3187,1117,1890,10664,2981,6168,2709,1192,1784,12219,2376,1864,1356,4328,1839,8315,3050,2686,2135,3400,1961,3478,760,7286,1826,2218,9410,4642,299,3062,637,2359,134,1000,1287,2122,1312,647,2022,6485,1179,496
7,20150708,201507,19759,7557,8325,9818,4460,9131,6701,3625,3847,2572,2662,2803,11578,8234,3302,9860,8895,4345,1863,2523,8393,5515,10665,9062,5220,13579,7236,3822,4227,7613,1302,2500,4482,1861,2457,1345,2054,5606,1343,1090,5217,5742,2228,5201,1913,986,3090,4740,9126,10490,6944,4428,2762,12392,260,16855,11021,2923,2597,1069,1931,7253,3397,5374,5195,1077,1572,11353,2312,1775,1276,4153,1946,8508,4079,2734,1923,3451,1981,3194,726,7073,1702,1999,5977,4426,333,2935,613,2395,149,975,1248,1957,1276,651,1972,6442,1168,521
8,20150709,201507,19254,7379,8356,9541,4473,9265,6149,3503,3394,2475,2610,2698,10474,8193,3077,12990,8571,4191,1789,2833,6373,5839,9247,8319,4976,15959,10958,3490,22057,10492,1578,3097,5208,2241,2187,1223,1917,5459,1315,1259,4463,5079,1993,5060,1933,852,2996,4343,8775,10213,6807,4113,2789,11571,297,16095,9889,2629,2304,1441,1762,5666,2851,4987,2570,1142,1550,10919,2351,1799,1281,3778,1828,8155,2872,2854,1789,3430,1828,3606,674,5421,1453,1963,4888,4595,322,2760,665,2153,151,1048,1162,2014,1616,594,1754,6349,1023,528
9,20150710,201507,20655,7628,8267,9108,4043,16817,6276,3449,4126,2283,2619,2564,10355,10133,3175,10063,9233,3792,1854,2378,6246,5037,8663,7118,5756,14032,10242,3635,15265,13709,1789,4219,5160,2294,1957,991,1677,4958,1157,1104,4212,4811,1991,4908,1836,779,2829,3961,8967,9760,6520,3992,2567,11554,290,13657,10823,3706,2101,1257,2719,5237,2736,4816,2386,1074,1278,9522,2241,1614,1243,3708,1729,7842,2791,2762,1600,3914,1861,2810,698,5140,1382,2002,4054,4662,282,2643,534,1976,96,993,1124,2049,1347,663,1595,6043,1121,484
